Type,Onset,Duration,DurationCorrected
Opto1,148053.750,224.750,204.750
TTLin1,148528.500,5.000,5.000
Opto1,148553.500,225.000,205.000
TTLin1,149028.750,5.250,5.250
Opto1,149053.250,224.750,204.750
TTLin1,149528.500,5.000,5.000
Opto1,149553.000,225.000,205.000
TTLin1,150028.250,5.000,5.000
Opto1,150052.500,225.000,205.000
TTLin1,150527.750,5.250,5.250
Opto1,150552.250,241.500,221.500
TTLin1,151043.500,5.250,5.250
Opto1,151068.750,225.000,205.000
TTLin1,151543.500,5.250,5.250
Opto1,151568.500,224.750,204.750
TTLin1,152057.250,5.250,5.250
Opto1,152084.750,224.750,204.750
TTLin1,152557.000,5.250,5.250
Opto1,152584.500,224.750,204.750
TTLin1,153057.000,5.000,5.000
Opto1,153084.250,224.750,204.750
TTLin1,153557.750,5.250,5.250
Opto1,153584.000,224.750,204.750
TTLin1,154057.750,5.000,5.000
Opto1,154083.500,225.000,205.000
TTLin1,154558.000,5.250,5.250
Opto1,154583.250,225.000,205.000
TTLin1,155058.500,5.250,5.250
Opto1,155083.250,224.750,204.750
TTLin1,155558.250,5.250,5.250
Opto1,155582.750,224.750,204.750
TTLin1,156057.750,5.250,5.250
Opto1,156082.500,225.000,205.000
TTLin1,156557.500,5.250,5.250
Opto1,156582.250,224.750,204.750
TTLin1,157057.250,5.250,5.250
Opto1,157081.750,225.000,205.000
TTLin1,157557.000,5.000,5.000
Opto1,157581.750,224.750,204.750
TTLin1,158057.000,5.250,5.250
Opto1,158081.250,224.750,204.750
TTLin1,158556.750,5.250,5.250
Opto1,158581.000,224.750,204.750
TTLin1,159056.500,5.000,5.000
Opto1,159080.750,225.000,205.000
TTLin1,159556.250,5.000,5.000
Opto1,159580.500,224.750,204.750
TTLin1,160055.750,5.250,5.250
Opto1,160080.250,224.750,204.750
TTLin1,160558.250,5.250,5.250
Opto1,160579.750,225.000,205.000
TTLin1,161058.000,5.000,5.000
Opto1,161079.500,225.000,205.000
TTLin1,161557.750,5.000,5.000
Opto1,161579.250,224.750,204.750
TTLin1,162061.000,5.250,5.250
Opto1,162079.000,225.000,205.000
TTLin1,162583.250,5.250,5.250
Opto1,162612.000,224.750,204.750
TTLin1,163084.500,5.000,5.000
Opto1,163111.750,224.750,204.750
TTLin1,163584.000,5.250,5.250
Opto1,163611.500,224.750,204.750
TTLin1,164085.000,5.250,5.250
Opto1,164111.250,241.500,221.500
TTLin1,164599.250,5.250,5.250
Opto1,164627.500,224.750,204.750
TTLin1,165099.500,5.250,5.250
Opto1,165127.250,224.750,204.750
TTLin1,165599.250,5.000,5.000
Opto1,165627.000,224.750,204.750
TTLin1,166099.250,5.000,5.000
Opto1,166126.750,224.750,204.750
TTLin1,166600.000,5.000,5.000
Opto1,166626.500,224.750,204.750
TTLin1,167100.750,5.000,5.000
Opto1,167126.000,225.000,205.000
TTLin1,167600.250,5.250,5.250
Opto1,167625.750,224.750,204.750
TTLin1,168100.000,5.250,5.250
Opto1,168125.500,224.750,204.750
TTLin1,168599.750,5.250,5.250
Opto1,168625.250,224.750,204.750
TTLin1,169099.500,5.250,5.250
Opto1,169125.000,224.750,204.750
TTLin1,169599.750,5.000,5.000
Opto1,169624.750,224.750,204.750
TTLin1,170100.000,5.000,5.000
Opto1,170124.500,224.750,204.750
TTLin1,170599.500,5.250,5.250
Opto1,170624.250,224.500,204.500
TTLin1,171099.250,5.250,5.250
